OPO 1  { pos: [  5,125] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 11,125] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 15,126] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 22,125] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 27,125] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 33,125] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 43] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 38,125] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 14,126] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 11,124] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 27,124] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 33,124] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  5,124] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 44] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 38,124] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 22,124] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 13,126] | dir: UP    | fi: 0 }
OPO 6  { pos: [ 34,124] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 11,123] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 23,124] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,124] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 26,124] | dir: UP    | fi: 0 }
USER   { pos: [ 22, 45] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  5,123] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 12,126] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 12,123] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 35,124] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,125] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 46] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 23,123] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  5,122] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 25,124] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 12,127] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 13,123] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,126] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 23,122] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 36,124] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 46] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 25,125] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  5,121] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 12,128] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 14,123] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 37,124] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,127] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  5,120] | dir: LEFT  | fi: 0 }
USER   { pos: [ 24, 46] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 23,121] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 26,125] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 12,129] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,128] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 14,124] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 37,123] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  5,119] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 26,126] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 23,120] | dir: LEFT  | fi: 0 }
USER   { pos: [ 24, 47] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,130] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,129] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 14,125] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 25,126] | dir: UP    | fi: 0 }
USER   { pos: [ 24, 48] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 23,119] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 36,123] | dir: UP    | fi: 0 }
OPO 1  { pos: [  5,118] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 12,131] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,130] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 15,125] | dir: DOWN  | fi: 0 }
USER   { pos: [ 24, 49] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 24,126] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 23,118] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 35,123] | dir: UP    | fi: 0 }
OPO 1  { pos: [  5,117] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 12,132] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 16,125] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 23,126] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 39,131] | dir: RIGHT | fi: 0 }
USER   { pos: [ 24, 50] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 23,117] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 34,123] | dir: UP    | fi: 0 }
OPO 1  { pos: [  5,116] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 11,132] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 17,125] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 23,125] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 39,132] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 24,117] | dir: DOWN  | fi: 0 }
USER   { pos: [ 24, 51] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 33,123] | dir: UP    | fi: 0 }
OPO 1  { pos: [  5,115] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 11,131] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 17,124] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 24,125] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,133] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 25,117] | dir: DOWN  | fi: 0 }
