USER   { pos: [ 22, 43] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 22,125] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  5,125] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16,125] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 34,126] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 37,126] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 12,126] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 27,125] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 44] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 35,126] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 22,124] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 13,126] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  4,125] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 36,126] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 27,124] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16,124] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 45] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 14,126] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 36,127] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 35,127] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  3,125] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 27,123] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 22,123] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16,123] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 15,126] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 36,128] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 35,128] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 46] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 27,122] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  2,125] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 22,122] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16,122] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 35,129] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 36,129] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 15,127] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 47] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 27,121] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  1,125] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 22,121] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 16,121] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 35,130] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 15,128] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 22,120] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 36,130] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 48] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  1,124] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 27,120] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 15,121] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 15,129] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 35,131] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 28,120] | dir: DOWN  | fi: 0 }
USER   { pos: [ 22, 49] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 21,120] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 37,130] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  1,123] | dir: LEFT  | fi: 0 }
OPO 3  { pos: [ 14,121] | dir: UP    | fi: 0 }
OPO 6  { pos: [ 35,132] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 15,130] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 29,120] | dir: DOWN  | fi: 0 }
USER   { pos: [ 22, 50] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  1,122] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 20,120] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,121] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 38,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 36,132] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,120] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  2,122] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 15,131] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 51] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 19,120] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,120] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 39,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 36,131] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 18,120] | dir: UP    | fi: 0 }
USER   { pos: [ 22, 52] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 30,119] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  3,122] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 13,119] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 16,131] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 37,131] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,118] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 17,120] | dir: UP    | fi: 0 }
USER   { pos: [ 22, 53] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 17,131] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  4,122] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 13,118] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 41,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 38,131] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,117] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 16,120] | dir: UP    | fi: 0 }
USER   { pos: [ 22, 54] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [  5,122] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 18,131] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 13,117] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 39,131] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,116] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 55] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 15,120] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 19,131] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 13,116] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [  5,121] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,131] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 40,131] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,115] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 20,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 22, 56] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 14,120] | dir: UP    | fi: 0 }
OPO 1  { pos: [  6,121] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 14,116] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,132] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 41,131] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,114] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 14,119] | dir: LEFT  | fi: 0 }
USER   { pos: [ 22, 57] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 14,117] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,131] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  6,120] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 41,132] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 14,118] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 30,113] | dir: LEFT  | fi: 0 }
USER   { pos: [ 21, 57] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 21,132] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 15,117] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,132] | dir: UP    | fi: 0 }
OPO 1  { pos: [  5,120] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 15,118] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,112] | dir: LEFT  | fi: 0 }
USER   { pos: [ 20, 57] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 16,117] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [  4,120] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 21,133] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,132] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 15,119] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 30,111] | dir: LEFT  | fi: 0 }
USER   { pos: [ 19, 57] | dir: UP    | fi: 0 }
OPO 1  { pos: [  3,120] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 16,118] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,134] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 39,133] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 16,119] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 30,110] | dir: LEFT  | fi: 0 }
USER   { pos: [ 18, 57] | dir: UP    | fi: 0 }
OPO 1  { pos: [  3,121] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 17,118] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,134] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,135] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 17,119] | dir: DOWN  | fi: 0 }
USER   { pos: [ 17, 57] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 29,110] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 18,118] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 38,134] | dir: UP    | fi: 0 }
OPO 1  { pos: [  4,121] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 21,136] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 18,119] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 28,110] | dir: UP    | fi: 0 }
USER   { pos: [ 16, 57] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 21,137] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 19,118] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 37,134] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 19,119] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 27,110] | dir: UP    | fi: 0 }
USER   { pos: [ 15, 57] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 19,117] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 37,135] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 21,138] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 20,119] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 26,110] | dir: UP    | fi: 0 }
USER   { pos: [ 14, 57] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 18,117] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 22,138] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 37,136] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 21,119] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 25,110] | dir: UP    | fi: 0 }
USER   { pos: [ 13, 57] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 17,117] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 38,136] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 23,138] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 24,110] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 22,119] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 57] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 17,116] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 39,136] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 24,138] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 23,110] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 23,119] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 58] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 17,115] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 40,136] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 25,138] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 23,109] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 23,120] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 41,136] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 17,114] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 59] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 26,138] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 24,109] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 23,121] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,136] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 60] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 16,114] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 26,137] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 25,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 15,114] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 23,122] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,137] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 61] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 26,136] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 26,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 14,114] | dir: UP    | fi: 0 }
USER   { pos: [ 12, 62] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 24,122] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,138] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 26,135] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 27,109] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 63] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 14,115] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,139] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 25,122] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 26,134] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 28,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 13,115] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 42,140] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 64] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 25,134] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 26,122] | dir: DOWN  | fi: 0 }
OPO 5  { pos: [ 29,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 12,115] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 24,134] | dir: UP    | fi: 0 }
USER   { pos: [ 12, 65] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,141] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,123] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 30,109] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 23,134] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 42,142] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,116] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,124] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 66] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 31,109] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,143] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 22,134] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 12,117] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,125] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 67] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 32,109] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,144] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 22,135] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,126] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,118] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 68] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 33,109] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 41,144] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 22,136] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 69] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,127] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,119] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 34,109] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,144] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 22,137] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,120] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,128] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 70] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 35,109] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,145] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,129] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,121] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 71] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 23,137] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,146] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 36,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 12,122] | dir: RIGHT | fi: 0 }
USER   { pos: [ 12, 72] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,130] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 24,137] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,147] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 37,109] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 73] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,123] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 27,130] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 25,137] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 39,147] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 38,109] | dir: DOWN  | fi: 0 }
OPO 3  { pos: [ 12,124] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 28,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 74] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 25,136] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 38,147] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 38,110] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [ 12,125] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 29,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 75] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 25,135] | dir: LEFT  | fi: 0 }
OPO 5  { pos: [ 38,111] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 37,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,125] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 30,130] | dir: DOWN  | fi: 0 }
USER   { pos: [ 12, 76] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 24,135] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 37,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 36,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,124] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 30,129] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 77] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 23,135] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 36,111] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 35,147] | dir: UP    | fi: 0 }
OPO 3  { pos: [ 13,123] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 30,128] | dir: LEFT  | fi: 0 }
USER   { pos: [ 12, 78] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 23,136] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 35,111] | dir: UP    | fi: 0 }
